,id,experiment_name,seed,profit_gain,t,actor_hidden_size,discount,deviation_profit_percent,deviation_type,differential_deviation_profit
111,111,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6627,0.9724193112381927,10003,256,0.95,-0.615577040180086,cost,-0.045582636915199676
112,112,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,7888,0.1890016612904582,10003,256,0.95,0.15793728110805963,nash,-0.003188250029968633
113,113,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,7888,0.1890016612904582,10003,256,0.95,0.3812491038432693,br,0.004597636406201311
114,114,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,7888,0.1890016612904582,10003,256,0.95,-2.557421131464658,coop,-0.0851961505911249
115,115,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,7888,0.1890016612904582,10003,256,0.95,-6.440492008644516,cost,-0.21406957266094243
116,116,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,5849,0.862585940277944,10003,256,0.95,0.9293499632938759,nash,0.04484768285063307
117,117,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,5849,0.862585940277944,10003,256,0.95,3.7918286287881515,br,0.18041469717911682
118,118,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,5849,0.862585940277944,10003,256,0.95,-0.7682129296985346,coop,-0.044646358966637066
119,119,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,5849,0.862585940277944,10003,256,0.95,-3.0031456936274292,cost,-0.11241309467143805
120,120,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,5495,0.3467351543595211,10003,256,0.95,0.4179731669988677,nash,22.672041425463494
121,121,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,5495,0.3467351543595211,10003,256,0.95,0.5025072066272415,br,22.67437128601527
122,122,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,5495,0.3467351543595211,10003,256,0.95,-2.0996492138325737,coop,22.5728601784843
123,123,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,5495,0.3467351543595211,10003,256,0.95,-5.132084240170776,cost,22.50666986648659
124,124,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,1148,0.9510399909546636,10003,256,0.95,4.317992762411297,nash,0.21105740631524184
125,125,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,1148,0.9510399909546636,10003,256,0.95,3.7651190357715802,br,0.17525630484357713
126,126,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,1148,0.9510399909546636,10003,256,0.95,-3.8403574485111225,coop,-0.2674386193067885
127,127,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,1148,0.9510399909546636,10003,256,0.95,-2.379224592677113,cost,-0.10479784329526338
128,128,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,8562,0.9031026692636571,10003,256,0.95,2.567348622326127,nash,0.08526394726205733
129,129,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,8562,0.9031026692636571,10003,256,0.95,4.393018912864465,br,0.1958932122344755
130,130,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,8562,0.9031026692636571,10003,256,0.95,-1.9138417872127296,coop,-0.11620301942953108
131,131,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,8562,0.9031026692636571,10003,256,0.95,-5.091580991908614,cost,-10.978660555789004
132,132,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6579,0.34283388846186474,10003,256,0.95,0.43073012897057633,nash,22.38697249490667
133,133,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6579,0.34283388846186474,10003,256,0.95,0.8606162899072567,br,22.40246350150233
134,134,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6579,0.34283388846186474,10003,256,0.95,-1.6311921982160544,coop,22.278746155721652
135,135,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6579,0.34283388846186474,10003,256,0.95,-4.946627048304245,cost,22.18783132434025
136,136,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6609,0.9581457969781292,10003,256,0.95,15.426511994883356,nash,30.39552671209304
137,137,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6609,0.9581457969781292,10003,256,0.95,18.631670240988694,br,30.569107323250606
138,138,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6609,0.9581457969781292,10003,256,0.95,-3.339144902212062,coop,-0.18434360511855394
139,139,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,6609,0.9581457969781292,10003,256,0.95,8.881566175692042,cost,30.07184032538085
140,140,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,3951,0.82895506046856,10003,256,0.95,13.406399798662116,nash,27.699550480357175
141,141,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,3951,0.82895506046856,10003,256,0.95,8.79419078302952,br,0.5075344223190918
142,142,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,3951,0.82895506046856,10003,256,0.95,-16.741270522427104,coop,-25.7861126923804
143,143,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,3951,0.82895506046856,10003,256,0.95,7.345672188231948,cost,27.421229976253116
144,144,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9786,0.9330753911912395,10003,256,0.95,10.911839179976575,nash,0.685308860853797
145,145,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9786,0.9330753911912395,10003,256,0.95,5.661136810978262,br,0.13077989173260876
146,146,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9786,0.9330753911912395,10003,256,0.95,-1.8930824254898597,coop,-0.23309560060698242
147,147,saclite_tanh_2048critic_256actor_lr1e-3-5e-5_buf20000_3agents,9786,0.9330753911912395,10003,256,0.95,10.243497364906329,cost,33.59584189451454
